"Date(UTC)","Value"
"9/4/2022 2:33:00 PM","211"
"9/4/2022 2:34:00 PM","168"
"9/4/2022 2:35:00 PM","186"
"9/4/2022 2:36:00 PM","208"
"9/4/2022 2:37:00 PM","134"
"9/4/2022 2:38:00 PM","140"
"9/4/2022 2:39:00 PM","123"
"9/4/2022 2:40:00 PM","235"
"9/4/2022 2:41:00 PM","74"
"9/4/2022 2:42:00 PM","140"
"9/4/2022 2:43:00 PM","155"
"9/4/2022 2:44:00 PM","179"
"9/4/2022 2:45:00 PM","130"
"9/4/2022 2:46:00 PM","172"
"9/4/2022 2:48:00 PM","237"
"9/4/2022 2:49:00 PM","119"
"9/4/2022 2:50:00 PM","100"
"9/4/2022 2:51:00 PM","123"
"9/4/2022 2:52:00 PM","126"
"9/4/2022 2:53:00 PM","150"
"9/4/2022 2:54:00 PM","149"
"9/4/2022 2:55:00 PM","117"
"9/4/2022 2:56:00 PM","132"
"9/4/2022 2:57:00 PM","187"
"9/4/2022 2:58:00 PM","220"
"9/4/2022 2:59:00 PM","234"
"9/4/2022 3:00:00 PM","91"
"9/4/2022 3:01:00 PM","162"
"9/4/2022 3:02:00 PM","113"
"9/4/2022 3:03:00 PM","207"
"9/4/2022 3:04:00 PM","155"
"9/4/2022 3:05:00 PM","122"
"9/4/2022 3:06:00 PM","225"
"9/4/2022 3:07:00 PM","139"
"9/4/2022 3:08:00 PM","94"
"9/4/2022 3:09:00 PM","113"
"9/4/2022 3:10:00 PM","154"
"9/4/2022 3:11:00 PM","173"
"9/4/2022 3:12:00 PM","94"
"9/4/2022 3:13:00 PM","100"
"9/4/2022 3:14:00 PM","116"
"9/4/2022 3:15:00 PM","129"
"9/4/2022 3:16:00 PM","144"
"9/4/2022 3:17:00 PM","137"
"9/4/2022 3:18:00 PM","111"
"9/4/2022 3:19:00 PM","84"
"9/4/2022 3:20:00 PM","129"
"9/4/2022 3:21:00 PM","140"
"9/4/2022 3:22:00 PM","143"
"9/4/2022 3:23:00 PM","95"
"9/4/2022 3:24:00 PM","121"
"9/4/2022 3:25:00 PM","108"
"9/4/2022 3:26:00 PM","113"
"9/4/2022 3:28:00 PM","134"
"9/4/2022 3:29:00 PM","100"
"9/4/2022 3:30:00 PM","109"
"9/4/2022 3:31:00 PM","151"
"9/4/2022 3:32:00 PM","132"
"9/4/2022 3:33:00 PM","117"
"9/4/2022 3:34:00 PM","197"
"9/4/2022 3:35:00 PM","108"
"9/4/2022 3:36:00 PM","156"
"9/4/2022 3:37:00 PM","146"
"9/4/2022 3:38:00 PM","231"
"9/4/2022 3:39:00 PM","82"
"9/4/2022 3:40:00 PM","129"
"9/4/2022 3:41:00 PM","145"
"9/4/2022 3:42:00 PM","109"
"9/4/2022 3:43:00 PM","215"
"9/4/2022 3:44:00 PM","104"
"9/4/2022 3:45:00 PM","119"
"9/4/2022 3:46:00 PM","105"
"9/4/2022 3:47:00 PM","121"
"9/4/2022 3:48:00 PM","158"
"9/4/2022 3:49:00 PM","109"
"9/4/2022 3:50:00 PM","97"
"9/4/2022 3:51:00 PM","108"
"9/4/2022 3:52:00 PM","194"
"9/4/2022 3:53:00 PM","103"
"9/4/2022 3:54:00 PM","100"
"9/4/2022 3:55:00 PM","103"
"9/4/2022 3:56:00 PM","158"
"9/4/2022 3:57:00 PM","111"
"9/4/2022 3:58:00 PM","121"
"9/4/2022 3:59:00 PM","102"
"9/4/2022 4:00:00 PM","170"
"9/4/2022 4:01:00 PM","174"
"9/4/2022 4:02:00 PM","146"
"9/4/2022 4:03:00 PM","215"
"9/4/2022 4:04:00 PM","91"
"9/4/2022 4:05:00 PM","99"
"9/4/2022 4:06:00 PM","110"
"9/4/2022 4:07:00 PM","139"
"9/4/2022 4:08:00 PM","225"
"9/4/2022 4:09:00 PM","99"
"9/4/2022 4:10:00 PM","132"
"9/4/2022 4:11:00 PM","108"
"9/4/2022 4:12:00 PM","77"
"9/4/2022 4:13:00 PM","273"
"9/4/2022 4:14:00 PM","212"
"9/4/2022 4:15:00 PM","98"
"9/4/2022 4:16:00 PM","111"
"9/4/2022 4:17:00 PM","75"
"9/4/2022 4:18:00 PM","76"
"9/4/2022 4:19:00 PM","140"
"9/4/2022 4:20:00 PM","122"
"9/4/2022 4:21:00 PM","165"
"9/4/2022 4:22:00 PM","110"
"9/4/2022 4:23:00 PM","115"
"9/4/2022 4:24:00 PM","126"
"9/4/2022 4:25:00 PM","171"
"9/4/2022 4:26:00 PM","106"
"9/4/2022 4:27:00 PM","115"
"9/4/2022 4:28:00 PM","140"
"9/4/2022 4:29:00 PM","90"
"9/4/2022 4:30:00 PM","85"
"9/4/2022 4:31:00 PM","115"
"9/4/2022 4:32:00 PM","106"
"9/4/2022 4:33:00 PM","128"
"9/4/2022 4:34:00 PM","97"
"9/4/2022 4:35:00 PM","74"
"9/4/2022 4:36:00 PM","53"
"9/4/2022 4:37:00 PM","96"
"9/4/2022 4:38:00 PM","99"
"9/4/2022 4:39:00 PM","123"
"9/4/2022 4:40:00 PM","115"
"9/4/2022 4:41:00 PM","78"
"9/4/2022 4:42:00 PM","137"
"9/4/2022 4:43:00 PM","140"
"9/4/2022 4:44:00 PM","92"
"9/4/2022 4:45:00 PM","88"
"9/4/2022 4:46:00 PM","65"
"9/4/2022 4:47:00 PM","91"
"9/4/2022 4:48:00 PM","87"
"9/4/2022 4:49:00 PM","116"
"9/4/2022 4:50:00 PM","70"
"9/4/2022 4:51:00 PM","88"
"9/4/2022 4:52:00 PM","81"
"9/4/2022 4:53:00 PM","86"
"9/4/2022 4:54:00 PM","184"
"9/4/2022 4:56:00 PM","385"
"9/4/2022 4:57:00 PM","52"
"9/4/2022 4:58:00 PM","54"
"9/4/2022 4:59:00 PM","193"
